index,input_dataset,dataschema_variable,label:en,description:en,valueType,unit,other_format,Categories::label:en,input_variables,Variable label,Variable description,Coding,Unit (abbreviated),`Mlstr_harmo::comment`,`Mlstr_harmo::status`,Mlstr_harmo::status_detail,Mlstr_harmo::rule_category,Mlstr_harmo::algorithm,comment_question_for_cohort,response_from_cohort
11,BCS,sdc_retirement_status,Current retirement status,Indicator of whether the participant is retired or not,integer,,,"0 = Not retired ; 
1 = Retired",BD10ECACT,(Derived) Current economic activity status,"(Derived) Current economic activity status. CAPI interview. CM were reminded of their working situation at last data collection wave (e.g. working for an employee vs self-employed;
full time vs part-time vs not working;
same employer vs changed) and a series of follow-up questions ascertained details of any differences. This response was derived to provide maximal information on categories
The exact phrasing of follow-up questions can be found on pages 79-117 of the CAPI guide: https://cls.ucl.ac.uk/wp-content/uploads/2018/10/BCS70_collated-CAPI-specs_FINAL.pdf","`-9=Refused
-8=Not enough information
1=Full-time employment
2=Part-time employment
3=Full-time self-employment
4=Part-time self-employment
5=Unemployment
6=Full-time education
7 = Govt scheme for employment training
8=Temporary sickness/disability
9=Permanent sickness/disability
10=Looking after the home/family
11=Retirement
12=Other",,,complete,compatible,recode,"recode(1=0;
2=0;
3=0;
4=0;
5=0;
7=0;
8=0;
9=0;
10=0;
11=1;
ELSE=NA)",,
12,BCS,sdc_married,Ever married,Indicator of whether the participant has ever been married or not,integer,,,"0 = Never married ; 
1 = Married ; 
2 = Formerly married",BD10MS,(Derived) CM's legal marital status,"(Derived) CM's legal marital status. CAPI interview. Participants were reminded of their marital and living status as of last interview (e.g. married/liviing with, etc.) and checked if a) this was the same situation in present;
b) details of partner were correct. Details were updated as needed and the legal marital status was derived.
Participants were asked: ""What is your current legal marital status? ""
1. Single that is never married or never in a Civil Partnership
2. Married
3. Divorced
4. Legally separated
5. Widowed
6. A Civil Partner in a legally recognised Civil Partnership
7. A former Civil Partner (where Civil Partnership legally dissolved)
8. A surviving Civil Partner (where Civil Partner has died)","-8=No information
1=Legally separated
2=Married
3=Divorced
4=Widowed
5=A Civil Partner
6=A former Civil Partner
7=Never married or in a civil partnership",,,complete,compatible,recode,recode(2=1; 3=2; 4=2; 7=0; ELSE=NA),"For now the categories ""Legally separated"", ""A Civil Partner"" , and ""A former Civil Partner"" are set to NA since it is not very clear what ""Legally"" and ""Civil Partner"" refer to. Can you confirm the recoding or specify how the categories should be classified?",
13,BCS,sdc_relationship,Currently in a relationship,Indicator of whether the participant is in a relationship or not,integer,,,"0 = Not in a relationship ; 
1 = In a relationship",BD10MS,(Derived) CM's legal marital status,"(Derived) CM's legal marital status. CAPI interview. Participants were reminded of their marital and living status as of last interview (e.g. married/liviing with, etc.) and checked if a) this was the same situation in present;
b) details of partner were correct. Details were updated as needed and the legal marital status was derived.
Participants were asked: ""What is your current legal marital status? ""
1. Single that is never married or never in a Civil Partnership
2. Married
3. Divorced
4. Legally separated
5. Widowed
6. A Civil Partner in a legally recognised Civil Partnership
7. A former Civil Partner (where Civil Partnership legally dissolved)
8. A surviving Civil Partner (where Civil Partner has died)","-8=No information
1=Legally separated
2=Married
3=Divorced
4=Widowed
5=A Civil Partner
6=A former Civil Partner
7=Never married or in a civil partnership",,,complete,compatible,recode,recode(2=1; 5=1; 7=0; ELSE=NA),,
14,BCS,sdc_location,Urban or rural location,Urban or rural location,integer,,,"1 = Rural ; 
2 = Urban",BD10UR01IND,2001 Urban/rural indicator,2001 Urban/rural indicator. CAPI interview. CM provided their address.Variable was derived from the addresses using government geographical data,"where EW refers to England and Wales
1=EW Urban > 10k - sparse
2=EW Town and Fringe - sparse
3=EW Village - sparse
4=EW Hamlet and Isolated Dwelling - sparse
5=EW Urban > 10k - less sparse
6=EW Town and Fringe - less sparse
7=EW Village - less sparse
8=EW Hamlet and Isolated Dwelling - less sparse
9=SCO Large Urban Area",,,complete,compatible,recode,"recode(1=1;
2=0;
3=0;
4=0;
5=1;
6=0;
7=0;
8=0;
9=1;
ELSE=NA)",,
15,BCS,pm_height,Participant's height,Participant's height,decimal,cm,,,"B10HEIGHTCM ;
BD10HGHTM","CM's height (cm) measured ;
(Derived) Self-reported height in metres","CM's height (cm) measured. Height is measured in centimetres using a portable Leicester stadiometer. Participants are asked to remove shoes and loosen hair accessories. The nurse positions the participants’ head in the Frankfort Plane before lowering the stadiometer’s head plate. The measurement is taken to the nearest even millimetre. ;
(Derived) Self-reported height in metres. Respondents were asked to provide a self-report of their height without shoes, either in metres and centimetres (B10HTMEES, B10HTCMS) or feet and inches (B10HTFEET, B10HTINES).","-8=not known
-1= not applicable ;
-8=no information","cm ;
m",,complete,compatible,case_when,"case_when(
B10HEIGHTCM > 0 ~ as.numeric(B10HEIGHTCM);
BD10HGHTM > 0 ~ as.numeric(BD10HGHTM) * 100;
ELSE ~ NA_real_)",,
16,BCS,pm_height_method,Method used to measure the height,Method used to measure the height,integer,,,"1 = Self-reported ; 
2 = Measured by professional","B10HEIGHTCM ;
BD10HGHTM","CM's height (cm) measured ;
(Derived) Self-reported height in metres","CM's height (cm) measured. Height is measured in centimetres using a portable Leicester stadiometer. Participants are asked to remove shoes and loosen hair accessories. The nurse positions the participants’ head in the Frankfort Plane before lowering the stadiometer’s head plate. The measurement is taken to the nearest even millimetre. ;
(Derived) Self-reported height in metres. Respondents were asked to provide a self-report of their height without shoes, either in metres and centimetres (B10HTMEES, B10HTCMS) or feet and inches (B10HTFEET, B10HTINES).","-8=not known
-1= not applicable ;
-8=no information","cm ;
m",,complete,compatible,case_when,"case_when(
B10HEIGHTCM > 0 ~ 2L;
BD10HGHTM > 0 ~ 1L;
ELSE ~ NA_integer_)",,
17,BCS,pm_weight,Participant's weight,Participant's weight,decimal,kg,,,"BD10MWGTK ;
BD10WGHTK","(Derived) Nurse measured weight in kilograms (all measured) ;
(Derived) Self-reported weight in kilograms","(Derived) Nurse measured weight in kilograms (all measured) . Participants were asked to remove shoes, socks, tights. Weight is measured in kilograms using Tanita BF - 522W scales. The scales can accurately measure up to 130 kilograms and those whose weight likely exceeded this were not weighed.
;
(Derived) Self-reported weight in kilograms. Respondents were asked to provide a self-report of their weight without clothes, either in kilograms (B10WTKIS) or stones and pounds (B10WTSTE, B10WTPOD).","-8=no information ;
-8=no information","kg ;
kg",,complete,compatible,case_when,"case_when(
BD10MWGTK > 0 ~ as.numeric(BD10MWGTK);
BD10WGHTK > 0 ~ as.numeric(BD10WGHTK);
ELSE ~ NA_real_)",,
18,BCS,pm_weight_method,Method used to measure the weight,Method used to measure the weight,integer,,,"1 = Self-reported ; 
2 = Measured by professional","BD10BMI ;
BD10MBMI","(Derived) Body mass index (based on self-reported data) ;
(Derived) Body mass index (based on nurse measurement)","(Derived) Body mass index (based on self-reported data) . Body Mass Index (body mass divided by the square of body height) has been derived based both on self-reported measures of height and weight ;
(Derived) Body mass index (based on nurse measurement) . Body Mass Index (body mass divided by the square of body height) has been derived based on objective measures of height and weight",-8=not enough information,kg/m2,,complete,compatible,case_when,"case_when(
BD10MWGTK > 0 ~ 2L;
BD10WGHTK > 0 ~ 1L;
ELSE ~ NA_integer_)",,
19,BCS,pm_bmi,Body mass index,Body mass index,decimal,kg/m2,,,"BD10BMI ;
BD10MBMI","(Derived) Body mass index (based on self-reported data) ;
(Derived) Body mass index (based on nurse measurement)","(Derived) Body mass index (based on self-reported data) . Body Mass Index (body mass divided by the square of body height) has been derived based both on self-reported measures of height and weight ;
(Derived) Body mass index (based on nurse measurement) . Body Mass Index (body mass divided by the square of body height) has been derived based on objective measures of height and weight",-8=not enough information,kg/m2,,complete,compatible,case_when,"case_when(
BD10MBMI>0 ~ as.numeric(BD10MBMI);
BD10BMI>0 ~ as.numeric(BD10BMI);
ELSE ~ NA_real_)",,
20,BCS,pm_waist_circ,Waist circumference,Waist circumference,decimal,cm,,,B10WAISTAV,(Derived in CAPI) Average waist measurement.,(Derived in CAPI) Average waist measurement. Waist and hip measurements were taken using a SECA tape measure by the research nurse. Measurements are taken to the nearest even millimetre. A first measure of waist circumference is taken followed by a first measurement of hip circumference. Second measures of each are taken. If the first and second measurements of either waist or hip circumference differed by 3 cm or more a third measurement was taken.,-1 =not applicable,cm,,complete,compatible,operation,"ifelse(B10WAISTAV > 0, B10WAISTAV, NA)",,
21,BCS,pm_waist_circ_method,Method used to measure the waist circumference,Method used to measure the waist circumference,integer,,,"1 = Self-reported ; 
2 = Measured by professional",B10WAISTAV,(Derived in CAPI) Average waist measurement.,(Derived in CAPI) Average waist measurement. Waist and hip measurements were taken using a SECA tape measure by the research nurse. Measurements are taken to the nearest even millimetre. A first measure of waist circumference is taken followed by a first measurement of hip circumference. Second measures of each are taken. If the first and second measurements of either waist or hip circumference differed by 3 cm or more a third measurement was taken.,-1 =not applicable,cm,,complete,compatible,operation,"ifelse(B10WAISTAV > 0, 2, NA)",,
22,BCS,pm_bodyfat_perc,Body fat percentage,Body fat percentage,decimal,%,,,B10BFPC,Body fat percentage measurement,"Body fat percentage measurement. Measured by nurse. Body fat percentage is the total weight of the person’s fat divided by the person’s weight and is measured using the same scales (Tanita BF - 522Ws) by sending a weak electrical current around the body from one foot to the other. Respondent’s age, gender and height is entered into the scales prior to measurement, so as to ensure the accuracy of the body fat measurements. Nurses were also required to enter body type into the TANITA scales – normal or athletic. Nurses entered ‘normal’ in all cases.","-9=refused;
-8=not known;
-1= not applicable",percentage,,complete,compatible,operation,"ifelse(B10BFPC > 0, B10BFPC, NA)",,
23,BCS,pm_bodyfat_perc_method,Method used to measure the body fat percentage,Method used to measure the body fat percentage,text,,,,B10BFPC,Body fat percentage measurement,"Body fat percentage measurement. Measured by nurse. Body fat percentage is the total weight of the person’s fat divided by the person’s weight and is measured using the same scales (Tanita BF - 522Ws) by sending a weak electrical current around the body from one foot to the other. Respondent’s age, gender and height is entered into the scales prior to measurement, so as to ensure the accuracy of the body fat measurements. Nurses were also required to enter body type into the TANITA scales – normal or athletic. Nurses entered ‘normal’ in all cases.","-9=refused;
-8=not known;
-1= not applicable",percentage,,complete,compatible,operation,"ifelse(B10BFPC > 0, ""Bioelectrical impedance measurement (Tanita BF-522Ws)"", NA)",,
24,BCS,pm_systo_bp,Systolic blood pressure,"Systolic blood pressure, average of all measures available",integer,mmHg,,,B10BPSYSRa,"Derived, average systolic BP","Average systolic BP reading. Seated blood pressure is measured using an Omron HEM 907 blood pressure monitor. The nurse fits a cuff of the appropriate size (standard or large) to the respondent’s right arm (where possible) and the respondent then rests for 5 minutes. Three measurements of diastolic blood pressure, systolic blood pressure and pulse are then taken at one minute intervals.","-8=not known;
-1= not applicable",mmHg,,complete,identical,operation,"ifelse(B10BPSYSRa > 0, B10BPSYSRa, NA)",,
25,BCS,pm_diasto_bp,Diastolic blood pressure,"Diastolic blood pressure, average of all measures available",integer,mmHg,,,B10BPDIARa,"Derived, average diastolic BP","Average diastolic BP reading. Seated blood pressure is measured using an Omron HEM 907 blood pressure monitor. The nurse fits a cuff of the appropriate size (standard or large) to the respondent’s right arm (where possible) and the respondent then rests for 5 minutes. Three measurements of diastolic blood pressure, systolic blood pressure and pulse are then taken at one minute intervals.","-8=not known;
-1= not applicable",mmHg,,complete,identical,operation,"ifelse(B10BPDIARa > 0, B10BPDIARa, NA)",,
26,BCS,pm_resting_heart_rate,Resting heart rate,Resting heart rate,decimal,beats/minute,,,B10BPPLSa,"Derived, average pulse","Average pulse reading. Seated blood pressure is measured using an Omron HEM 907 blood pressure monitor. The nurse fits a cuff of the appropriate size (standard or large) to the respondent’s right arm (where possible) and the respondent then rests for 5 minutes. Three measurements of diastolic blood pressure, systolic blood pressure and pulse are then taken at one minute intervals.","-8=not known
-1= not applicable",bpm,Average of 3 measures preceded by a 5 minutes rest (1 minute between each measure),complete,compatible,operation,"ifelse(B10BPPLSa>0, B10BPPLSa, NA)",,
27,BCS,pm_cardiorespiratoy_fitness,Cardiorespiratoy fitness,Cardiorespiratoy fitness,decimal,ml/min/kg,,,__BLANK__,,,,,,impossible,unavailable,impossible,impossible,,
28,BCS,lab_blood_fasting,Blood sampling fasting,Blood sampling fasting,integer,,,"0 = Non-fasted ; 
1 = Short-fast (<=4h) ; 
2 = Long fast (>4h)",__BLANK__,,,,,All participants of this cohort were non-fasting,complete,identical,paste,0,,
29,BCS,lab_red_blood_cell_count,Red blood cell count,Red blood cell count,decimal,10^12/L,,,B10RBC,Red blood cell count,"Red blood cell count. If consent was provided, nurses collected three tubes of blood (2 EDTA and 1 Serum) using standard venepuncture. Participants were not required to be in a fasted state as nurses made visits at any time in the day. The serum tube and one EDTA tube was posted to RVI laboratory in Newcastle who conducted a range of assays (described below). The second EDTA tube was posted to the Bristol Bioresource Laboratory (BBL) at University of Bristol where it was centrifuged to separate the plasma. Up to 5 aliquots of plasma have been frozen and stored at BBL for future use. Buffy coats were extracted and stored by BBL for future DNA extraction. Method principle: Impedance count. Manufacturer: Sysmex XN","-8=sample unsuitable for analysis
-1= not applicable",g/L,,impossible,incompatible,impossible,impossible,Please confirm units,
30,BCS,lab_HbA1c,Glycated hemoglobin (A1c),Glycated hemoglobin (A1c),decimal,mmol/mol,,,B10HBA1C,Glycated haemoglobin,"Glycated haemoglobin. If consent was provided, nurses collected three tubes of blood (2 EDTA and 1 Serum) using standard venepuncture. Participants were not required to be in a fasted state as nurses made visits at any time in the day. The serum tube and one EDTA tube was posted to RVI laboratory in Newcastle who conducted a range of assays (described below). The second EDTA tube was posted to the Bristol Bioresource Laboratory (BBL) at University of Bristol where it was centrifuged to separate the plasma. Up to 5 aliquots of plasma have been frozen and stored at BBL for future use. Buffy coats were extracted and stored by BBL for future DNA extraction. Method principle: Ion exchange HPLC. Manufacturer: Tosoh G8","-8=sample unsuitable for analysis;
-1= not applicable",mmol/mol,,complete,identical,operation,"ifelse(B10CHOL > 0, B10CHOL, NA)",,
31,BCS,lab_chol_tot,Total cholesterol,Total cholesterol,decimal,mmol/L,,,B10CHOL,Total cholesterol,"Total cholesterol. If consent was provided, nurses collected three tubes of blood (2 EDTA and 1 Serum) using standard venepuncture. Participants were not required to be in a fasted state as nurses made visits at any time in the day. The serum tube and one EDTA tube was posted to RVI laboratory in Newcastle who conducted a range of assays (described below). The second EDTA tube was posted to the Bristol Bioresource Laboratory (BBL) at University of Bristol where it was centrifuged to separate the plasma. Up to 5 aliquots of plasma have been frozen and stored at BBL for future use. Buffy coats were extracted and stored by BBL for future DNA extraction. Method principle: Enzymatic colourimetric: cholesterol esterase/cholesterol oxidase/peroxidase. Manufacturer: Roche Cobas c702, generation 2 assay","-8=sample unsuitable for analysis;
-1= not applicable",mmol/L,,complete,identical,operation,"ifelse(B10HDL > 0, B10HDL, NA)",,
32,BCS,lab_chol_hdl,HDL cholesterol,HDL cholesterol,decimal,mmol/L,,,B10HDL,HDL cholesterol,"HDL cholesterol. If consent was provided, nurses collected three tubes of blood (2 EDTA and 1 Serum) using standard venepuncture. Participants were not required to be in a fasted state as nurses made visits at any time in the day. The serum tube and one EDTA tube was posted to RVI laboratory in Newcastle who conducted a range of assays (described below). The second EDTA tube was posted to the Bristol Bioresource Laboratory (BBL) at University of Bristol where it was centrifuged to separate the plasma. Up to 5 aliquots of plasma have been frozen and stored at BBL for future use. Buffy coats were extracted and stored by BBL for future DNA extraction. Method principle: Enzymatic colourimetric: dextran sulphate/PEG-cholesterol esterase/PEG-cholesterol oxidase/peroxidase. Manufacturer: Roche Cobas c702, generation 3 assay","-8=sample unsuitable for analysis;
-1= not applicable",mmol/L,,complete,identical,operation,"ifelse(B10BFPC > 0, B10BFPC, NA)",,
33,BCS,lab_chol_ldl,LDL cholesterol,LDL cholesterol,decimal,mmol/L,,,__BLANK__,,,,,,impossible,unavailable,impossible,impossible,,
34,BCS,lab_chol_ldl_calculated,Calculated LDL cholesterol,Calculated LDL cholesterol,decimal,mmol/L,,,"B10CHOL ;
B10HDL ;
B10TRIG","Total cholesterol ;
HDL cholesterol ;
Triglycerides","Total cholesterol. If consent was provided, nurses collected three tubes of blood (2 EDTA and 1 Serum) using standard venepuncture. Participants were not required to be in a fasted state as nurses made visits at any time in the day. The serum tube and one EDTA tube was posted to RVI laboratory in Newcastle who conducted a range of assays (described below). The second EDTA tube was posted to the Bristol Bioresource Laboratory (BBL) at University of Bristol where it was centrifuged to separate the plasma. Up to 5 aliquots of plasma have been frozen and stored at BBL for future use. Buffy coats were extracted and stored by BBL for future DNA extraction. Method principle: Enzymatic colourimetric: cholesterol esterase/cholesterol oxidase/peroxidase. Manufacturer: Roche Cobas c702, generation 2 assay ;
HDL cholesterol. If consent was provided, nurses collected three tubes of blood (2 EDTA and 1 Serum) using standard venepuncture. Participants were not required to be in a fasted state as nurses made visits at any time in the day. The serum tube and one EDTA tube was posted to RVI laboratory in Newcastle who conducted a range of assays (described below). The second EDTA tube was posted to the Bristol Bioresource Laboratory (BBL) at University of Bristol where it was centrifuged to separate the plasma. Up to 5 aliquots of plasma have been frozen and stored at BBL for future use. Buffy coats were extracted and stored by BBL for future DNA extraction. Method principle: Enzymatic colourimetric: dextran sulphate/PEG-cholesterol esterase/PEG-cholesterol oxidase/peroxidase. Manufacturer: Roche Cobas c702, generation 3 assay ;
Triglycerides. If consent was provided, nurses collected three tubes of blood (2 EDTA and 1 Serum) using standard venepuncture. Participants were not required to be in a fasted state as nurses made visits at any time in the day. The serum tube and one EDTA tube was posted to RVI laboratory in Newcastle who conducted a range of assays (described below). The second EDTA tube was posted to the Bristol Bioresource Laboratory (BBL) at University of Bristol where it was centrifuged to separate the plasma. Up to 5 aliquots of plasma have been frozen and stored at BBL for future use. Buffy coats were extracted and stored by BBL for future DNA extraction. 
Method principle: Enzymatic colourimetric: lipoprotein lipase/glycerol kinase/glycerol phosphate oxidase/peroxidase Manufacturer: Roche Cobas c702","-8=sample unsuitable for analysis;
-1= not applicable ;
-8=sample unsuitable for analysis;
-1= not applicable ;
-8=sample unsuitable for analysis;
-1= not applicable","mmol/L ;
mmol/L ;
mmol/L",Friedewald equation was used https://lipidworld.biomedcentral.com/articles/10.1186/1476-511X-9-27,complete,compatible,case_when,"case_when(
B10CHOL > 0 | B10HDL > 0 | B10TRIG > 0 ~ as.numeric(B10CHOL) - as.numeric(B10HDL) - (as.numeric(B10TRIG)/2.2);
ELSE ~ NA_real)",,
35,BCS,lab_trigly,Triglycerides,Triglycerides,decimal,mmol/L,,,B10TRIG,Triglycerides,"Triglycerides. If consent was provided, nurses collected three tubes of blood (2 EDTA and 1 Serum) using standard venepuncture. Participants were not required to be in a fasted state as nurses made visits at any time in the day. The serum tube and one EDTA tube was posted to RVI laboratory in Newcastle who conducted a range of assays (described below). The second EDTA tube was posted to the Bristol Bioresource Laboratory (BBL) at University of Bristol where it was centrifuged to separate the plasma. Up to 5 aliquots of plasma have been frozen and stored at BBL for future use. Buffy coats were extracted and stored by BBL for future DNA extraction. 
Method principle: Enzymatic colourimetric: lipoprotein lipase/glycerol kinase/glycerol phosphate oxidase/peroxidase Manufacturer: Roche Cobas c702","-8=sample unsuitable for analysis;
-1= not applicable",mmol/L,,complete,identical,operation,"ifelse(B10TRIG > 0, B10TRIG, NA)",,
36,BCS,lab_c_reac_pro,C-reactive protein,C-reactive protein,decimal,µg/ml,,,B10HSCRP,C-reactive protein,"C-reactive protein. (high sensitivity). If consent was provided, nurses collected three tubes of blood (2 EDTA and 1 Serum) using standard venepuncture. Participants were not required to be in a fasted state as nurses made visits at any time in the day. The serum tube and one EDTA tube was posted to RVI laboratory in Newcastle who conducted a range of assays (described below). The second EDTA tube was posted to the Bristol Bioresource Laboratory (BBL) at University of Bristol where it was centrifuged to separate the plasma. Up to 5 aliquots of plasma have been frozen and stored at BBL for future use. Buffy coats were extracted and stored by BBL for future DNA extraction.
Method principle: Immunoturbidimetry Manufacturer: Roche Cobas c702","-8=sample unsuitable for analysis;
-1= not applicable",mg/L,,complete,identical,operation,"ifelse(B10HSCRP > 0, B10HSCRP, NA)",,
37,BCS,nut_fruit_quantity,Fruit intake quantity,Fruit Intake quantity,integer,g/day,,,__BLANK__,,,,,,impossible,unavailable,impossible,impossible,,
38,BCS,nut_fruit_frequency,Fruit intake frequency,Fruit Intake frequency,integer,,,"1 = Rarely ; 
2 = Several times a week ; 
3 = Every day",__BLANK__,,,,,,impossible,unavailable,impossible,impossible,,
39,BCS,nut_vegetable_quantity,Vegetable intake quantity,Vegetable Intake quantity,integer,g/day,,,__BLANK__,,,,,,impossible,unavailable,impossible,impossible,,
40,BCS,nut_vegetable_frequency,Vegetable intake frequency,Vegetable Intake frequency,integer,,,"1 = Rarely ; 
2 = Several times a week ; 
3 = Every day",__BLANK__,,,,,,impossible,unavailable,impossible,impossible,,
41,BCS,nut_energy_tot,Total energy intake,Total energy intake,decimal,kcal/day,,,__BLANK__,,,,,,impossible,unavailable,impossible,impossible,,
42,BCS,alc_alcohol,Alcohol intake,Alcohol intake per week,decimal,g/week,,,"BD10NUALC;
B10ODQALCO","(Derived) Number of units of alcohol consumed in the last 7 days;
Calculated alcohol (g) in diet","(Derived) Number of units of alcohol consumed in the last 7 days. Calculated from the type of alcoholic drinks consumed in the 7 days prior to interview (B10DRNK01-B10DRNK06) and number of drinks of each type consumed (B10BEERN, B10BEERS, B10SPIRIS, B10SHERRY, B10ALCOPP, B10WINLAG, B10WINSTG, B10WINSMG). BD10NUALC is the total number of expected units in all alcoholic drinks consumed in that timeframe. This only adds units from, or similar to;
beer/cider, spirits/liqueurs, sherry, wine and alcopops. Any alcoholic drinks consumed that come under the ‘Other’ category (B10DRNK07) are not used in the calculation as the number of units cannot be estimated;

Calculated alcohol (g) in diet. During the nurse visit, cohort members were asked by the nurse to complete an online dietary questionnaire about two randomly selected days, one weekday and one weekend day, over the seven day period following their nurse visit. The questionnaire used was the Oxford WebQ (Liu et al, 2011) developed by the Cancer Epidemiology Unit at the University of Oxford. The online questionnaire was hosted by the University of Oxford. Cohort members were provided with a leaflet containing a link to the questionnaire and a unique login code. 24 The Oxford WebQ asks about consumption of 206 foods and 32 beverages during the previous 24 hours. The quantity of each food or drink consumed during the reference period is calculated by multiplying the assigned portion of each food or beverage by the amount consumed. Nutrient intakes are derived by multiplying the quantity consumed by the nutrient composition of the food or beverage, as taken from McCance and Widdowson’s The Composition of Foods and its supplements","-8= not enough information;
-1= no drink in last 7 days","g 
AA: Just wondering whether this needs a timeframe - g/day or g/week? Is this derived variable based on both days that were reported? 
JB: This is just labelled as grams in our data/documentation and I've added all possible infromation in the variable desciption. The description states that the WebQ asks about food during the previous 24hours so it may be best to keep as grams, but we can assume this is a daily value (24hour period) for harmonisation","Alcohol in diet (ex: sauce and soup) was included.
Mean gram of alcohol per standard drink in United Kingdom was used (8)
https://iard.org/science-resources/detail/drinking-guidelines-general-population",complete,compatible,case_when,"case_when(
BD10NUALC == -1 ~ 0;
BD10NUALC > 0 & B10ODQALCO >=0 ~ BD10NUALC*8 + B10ODQALCO*7;
BD10NUALC > 0 ~ BD10NUALC*8;
B10ODQALCO >= 0 ~ B10ODQALCO*7;
ELSE ~ NA_real_)",Please confirm that the mean quantity of alcohol per standard drink in the UK is 10 grams,
43,BCS,alc_alcohol_frequency,Frequency of alcohol consumption,Frequency of alcohol consumption,integer,,,"0 = Never/almost never ; 
1 = Monthly ; 
2 = Weekly ; 
3 = Daily/almost daily",__BLANK__,,,,,,impossible,unavailable,impossible,impossible,,
44,BCS,smk_smoking_status,Smoking status,Smoking Status,integer,,,"0 = Never smoked ; 
1 = Previously smoked ; 
2 = Currently smoke",B10SMOKIG,Whether smoke (or used to smoke),"Whether smoke (or used to smoke). CAPI interview. CM shown card and asked to pick. ""Which of the statements on this card applies to you?"" .Options were: I've never smoked cigarettes, I used to smoke but don't at all, I now smoke occasionally but not daily, I smoke cigarettes every day","-9=Refused;
-8=Not known;
1=I've never smoked cigarettes;
2=I used to smoke but don't at all;
3=I now smoke occasionally but not daily;
4=I smoke cigarettes every day",,,complete,compatible,recode,"recode(1=0;
2=1;
3=2;
4=2;
ELSE=NA)",,
45,BCS,smk_smoking_frequency,Current smoking frequency,Current smoking frequency,integer,,,"1 = Monthly ;
2 = Weekly ;
3 = Daily/almost daily ;",B10SMOKIG,Whether smoke (or used to smoke),"Whether smoke (or used to smoke). CAPI interview. CM shown card and asked to pick. ""Which of the statements on this card applies to you?"" .Options were: I've never smoked cigarettes, I used to smoke but don't at all, I now smoke occasionally but not daily, I smoke cigarettes every day","-9=Refused;
-8=Not known;
1=I've never smoked cigarettes;
2=I used to smoke but don't at all;
3=I now smoke occasionally but not daily;
4=I smoke cigarettes every day",,,complete,compatible,recode,recode(1=NA; 2=NA; 3=1; 4=1; ELSE=NA),,
46,BCS,smk_smoking_quantity,Number cigarettes smoked per week,Number cigarettes smoked per week,integer,cigarettes/week,,,B10NFCIGS,Number of cigarettes a day usually smoked,"Number of cigarettes a day usually smoked. CAPI interview. If CM answered ""I smoke cigarettes every day"" to B10SMOKIG, they were asked ""How many cigarettes a day do you usually smoke?"" .","-8=Not known
-1=Not applicable",,,complete,identical,operation,"ifelse(B10NFCIGS > 0, B10NFCIGS*7, NA)",,
47,BCS,lsb_rated_health,Self Rated Health,Self Rated Health,integer,,,"1 = Poor/Very Poor ; 
2 = Moderate/Fair ; 
3 = Good ; 
4 = Very good/Excellent",__BLANK__,,,,,,impossible,incompatible,impossible,impossible,,
48,BCS,dis_cvd,Cadio vascular diseases,"Cardio vascular diseases (ischemic heart disease, stroke, hypertension, heart failure, atrial fibrillation, thrombosis, cerebrovascular disease, angina pectoris)",integer,,,"0 = No ; 
1 = Yes","B10KHPB10 ;
B10KHPB11;
B10KHPB20","Health probs since last int/4 yrs ago: High blood pressure ;
Health probs since last int/4 yrs ago: Heart problems;
Health probs since last int/4 yrs ago: Stroke","CAPI interview ""Since {automatic generated date of last collection for this CM}, have you had any of the health problems listed on this card? Please include any health problems that had already started before that date. You can tell me which numbers apply."" CMs could pick as many as relevant. Options were: 1. Asthma or wheezy bronchitis
2. Hayfever (seasonal allergic rhinitis) or persistent sneezing/runny nose
(perennial allergic rhinitis)
3. (Sugar) Diabetes
4. Convulsion, fit, epileptic seizure
5. Recurrent backache, prolapsed disc, sciatica or other back problem
6. Cancer or Leukaemia
7. Problems with hearing
8. Problems with speech
9. Problems with eyes (Do not include problems which are resolved by wearing
glasses or contact lenses – e.g. short sightedness, long sightedness or
astigmatism)
10. High blood pressure
11. Heart problems
12. Migraine
13. Eczema or other skin problems
14. Chronic fatigue syndrome(ME)
15. Problems with stomach, bowels or gall bladder 16. Problems with bladder or kidneys
17. Persistent cough/bringing up phlegm
18. Liver disease including viral hepatitis B or C 19. Arthritis
20. Stroke
21. None of these [EXCLUSIVE]
Variable is coded as yes,no for each of the 20 (+1 none of these) health problems. One individual selected don't know so does not have a response for all 21 items.
.","-8=not known
0=no
1=yes",,"The category ""No"" was not produced. Collected information included high blood pressure, heart and strokes health problems had in the last 4 years.",complete,compatible,case_when,"case_when(
B10KHPB10 == 1 ~ 1L;
B10KHPB11 == 1 ~ 1L;
B10KHPB20 == 1 ~ 1L;
ELSE ~ NA_integer_)",,
49,BCS,dis_musculoskeletal,Musculoskeletal diseases,"Musculoskeletal diseases (Osteoporosis, Arthrosis, Rheumatic disorder, Osteoarthritis or Rheumatism, Rheumatoid Arthritis, Osteoarthritis, Other arthritis, and Rheumatoid arthritis)",integer,,,"0 = No ; 
1 = Yes",__BLANK__,,,,,,impossible,incompatible,impossible,impossible,,
